1,Mạng máy tính được hiểu là gì,Kết nối các máy tính,Kết nối phần mềm,Kết nối dữ liệu,Kết nối server,B,easy
2,LAN là loại mạng có phạm vi như thế nào,Cục bộ,Toàn cầu,Không dây,Cá nhân,A,easy
3,Thiết bị dùng để định tuyến gói tin là gì,Router,Switch,Hub,Repeater,A,easy
4,Địa chỉ IPv4 có độ dài bao nhiêu bit,32,16,64,128,A,easy
5,Giao thức HTTP thường dùng cổng nào,80,21,25,443,A,easy
6,HTTPS khác HTTP ở điểm nào,Có mã hóa,Nhanh hơn,Ít dữ liệu,Không trạng thái,A,easy
7,Tầng thấp nhất trong mô hình OSI là tầng nào,Physical,Network,Transport,Application,A,easy
8,Switch hoạt động chủ yếu ở tầng nào trong OSI,DataLink,Network,Transport,Physical,A,easy
9,Router làm việc chủ yếu ở tầng nào,Network,DataLink,Transport,Session,A,easy
10,DNS có chức năng chính là gì,Phân giải tên miền,Gửi mail,Định tuyến,Bảo mật,A,easy
11,FTP được sử dụng để làm gì,Truyền file,Truy cập web,Gửi mail,Chat,A,easy
12,Địa chỉ MAC có độ dài bao nhiêu bit,48,32,64,128,A,easy
13,WiFi sử dụng loại sóng nào,Sóng radio,Sóng âm,Tia X,Hồng ngoại,A,easy
14,ICMP được dùng chủ yếu để làm gì,Báo lỗi mạng,Gửi file,Gửi mail,Bảo mật,A,easy
15,Lệnh ping thường dùng để làm gì,Kiểm tra kết nối,Gửi dữ liệu,Định tuyến,Mã hóa,A,easy
16,Subnet mask có tác dụng gì,Chia mạng con,Mã hóa,Tăng tốc,Bảo mật,A,easy
17,Địa chỉ loopback IPv4 là gì,127.0.0.1,0.0.0.0,192.168.1.1,255.255.255.0,A,easy
18,UDP là giao thức có đặc điểm gì,Không kết nối,Đảm bảo thứ tự,Bảo mật cao,Mã hóa,A,easy
19,TCP đảm bảo điều gì khi truyền dữ liệu,Đúng thứ tự,Nhanh nhất,Không lỗi,Ít dữ liệu,A,easy
20,IPv6 có độ dài bao nhiêu bit,128,64,32,256,A,easy

21,ARP được dùng trong trường hợp nào,Ánh xạ IP sang MAC,Ánh xạ MAC sang IP,Phân giải DNS,Định tuyến,A,medium
22,NAT thường được triển khai để làm gì,Chuyển đổi địa chỉ IP,Tăng băng thông,Mã hóa,Chia VLAN,A,medium
23,VLAN cho phép điều gì,Tách mạng logic,Tăng tốc mạng,Bảo mật tuyệt đối,Giảm router,A,medium
24,Default gateway có vai trò gì,Chuyển gói ra mạng khác,Tăng tốc LAN,Mã hóa dữ liệu,Chia subnet,A,medium
25,TTL trong gói IP dùng để làm gì,Giới hạn vòng đời gói,Định tuyến,Bảo mật,Nén,A,medium
26,CSMA CD thường được dùng trong công nghệ nào,Ethernet,WiFi,Bluetooth,ATM,A,medium
27,MTU là khái niệm liên quan đến điều gì,Kích thước gói tin tối đa,Tốc độ,Băng thông,Độ trễ,A,medium
28,Socket được xác định bởi những thành phần nào,IP và port,MAC và IP,Port và MAC,IP và DNS,A,medium
29,Well known port nằm trong khoảng nào,0 đến 1023,1024 đến 49151,49152 đến 65535,Tất cả,A,medium
30,Firewall stateful có đặc điểm gì,Theo dõi trạng thái phiên,Chỉ lọc IP,Chỉ lọc port,Chỉ lọc MAC,A,medium
31,RIP sử dụng metric nào để định tuyến,Hop count,Bandwidth,Delay,Cost,A,medium
32,OSPF sử dụng metric nào,Cost,Hop,Bandwidth,Delay,A,medium
33,BGP thường được dùng trong môi trường nào,ISP Internet,Mạng LAN,Mạng gia đình,VPN,A,medium
34,VPN giúp đạt được điều gì,Kết nối an toàn từ xa,Tăng tốc LAN,Chia VLAN,Tạo subnet,A,medium
35,Fragmentation xảy ra khi nào,Gói tin lớn hơn MTU,Mạng chậm,Lỗi router,Lỗi DNS,A,medium

36,Quá trình three way handshake của TCP gồm những bước nào,SYN SYNACK ACK,ACK FIN SYN,FIN ACK,RST ACK,A,hard
37,Subnet mask 26 cho phép bao nhiêu host,62,64,30,126,A,hard
38,ARP spoofing là kiểu tấn công gì,Giả mạo ánh xạ IP MAC,DoS,Tấn công DNS,Nghe lén,A,hard
39,IPSec hoạt động chủ yếu ở tầng nào,Network,Transport,Application,DataLink,A,hard
40,Spanning Tree Protocol được dùng để làm gì,Ngăn loop trong mạng,Tăng tốc,Bảo mật,Mã hóa,A,hard
41,SYN flood là dạng tấn công nào,Tấn công từ chối dịch vụ,Tấn công DNS,Tấn công ARP,Nghe lén,A,hard
42,IPv6 không sử dụng loại địa chỉ nào,Broadcast,Unicast,Multicast,Anycast,A,hard
43,WPA2 sử dụng thuật toán mã hóa nào,AES,DES,RC4,WEP,A,hard
44,IDS khác IPS ở điểm nào,Chỉ phát hiện không chặn,Chặn trực tiếp,Tăng tốc mạng,Định tuyến,A,hard
45,SD WAN mang lại lợi ích gì,Quản lý mạng tập trung,Tăng độ trễ,Giảm bảo mật,Giảm khả năng mở rộng,A,hard
