id,question,A,B,C,D,answer,difficulty
101,Giới hạn lim x->0 sin(x)/x=?,0,1,2,Vô hạn,B,hard
102,Ma trận 2x2 [[1,2],[3,4]] có định thức?,-2,-1,2,5,A,medium
103,Tích phân ∫0^1 x dx = ?,0,1/2,1,2,B,medium
104,Nghiệm của phương trình x^2-4=0?,-2 và 2,-2 và 4,2 và 4,0 và 2,A,easy
105,Căn bậc hai của 121?,9,10,11,12,C,easy
106,Đạo hàm của e^x?,e^x,x e^{x-1},x^2,e^{x+1},A,medium
107,Đạo hàm của ln(x)?,1/x,x,ln(x),x ln(x),A,medium
108,Tích phân của 1/x dx?,ln|x| + C,x ln x + C,1/x + C,x + C,A,hard
109,Đạo hàm của sin(x)?,cos(x),-cos(x),sin(x),-sin(x),A,medium
110,Đạo hàm của cos(x)?,-sin(x),sin(x),cos(x),-cos(x),A,medium
111,Đạo hàm của x^3?,3x^2,3x,2x,3,A,easy
112,Giá trị e^0?,0,1,e,∞,B,easy
113,Giới hạn lim x->0 (1 - cos x)/x^2?,0,1/2,1,2,B,hard
114,Diện tích tam giác với đáy 4 và cao 5?,10,20,9,6,A,easy
