id,question,A,B,C,D,answer,difficulty
1,2+3=?,4,5,6,7,B,easy
2,Pi xấp xỉ bằng?,2.14,3.14,3.41,4.13,B,easy
3,Giải phương trình x+3=5?,1,2,3,4,B,easy
4,Căn bậc hai của 81?,7,8,9,10,C,easy
5,Giá trị sin(π/2)?,0,1,-1,1/2,B,easy
6,Phương trình 3x=12 có nghiệm?,2,3,4,6,C,easy
7,Tổng các góc trong tam giác?,90,120,180,270,C,easy
8,Giá trị cos(0)?,0,1,-1,0.5,B,easy
9,Tính 12/3=?,2,3,4,6,C,easy
10,Giá trị sin(0)?,0,1,-1,0.5,A,easy
11,Đạo hàm của x^2 là?,x,2x,2x+1,0,B,medium
12,Đạo hàm của sin(x)?,-sin(x),cos(x),-cos(x),sin(x),B,medium
13,Diện tích hình tròn bán kính r?,2πr,πr^2,πd,πr,B,medium
14,Tích phân của x dx?,x^2/2 + C,x + C,ln(x) + C,2x + C,A,medium
15,Đạo hàm của ln(x)?,1/x,x,ln(x),x ln(x),A,medium
16,Tích phân e^x dx?,e^x + C,x e^x + C,ln(x) + C,x^2/2 + C,A,medium
17,Nghiệm của x^2 + 2x +1 =0?,-1 và 1,-1 kép,1 kép,0 kép,B,medium
18,Giới hạn lim n→∞ (n/(n+1))=?,0,1,∞,Không tồn tại,B,medium
19,Đạo hàm của cos(x)?,sin(x),-sin(x),cos(x),-cos(x),B,medium
20,Tích phân của sin(x) dx?,-cos(x) + C,cos(x) + C,sin(x) + C,-sin(x) + C,A,medium
21,Giới hạn (1+1/n)^n khi n→∞?,0,1,2,e,D,hard
22,Tích phân ∫(1/x)dx từ 1 đến e?,0,1,2,e,B,hard
23,Đạo hàm của tan(x)?,1-tan^2(x),sec^2(x),csc^2(x),1+tan^2(x),B,hard
24,Giải tích phân ∫x·ln(x)dx?,x·ln(x)-x+C,x^2·ln(x)-x^2/2+C,(x^2/2)·ln(x)-x^2/4+C,ln(x)+C,C,hard
25,Tính det([[1-2][3-4]])?,2,1,-2,-1,C,hard
26,Giá trị eigenvalue của [[2-0][0-3]] là?,2 và 2,2 và 3,3 và 3,1 và 2,B,hard
27,∫e^(-x)dx?,e^(-x)+C,-e^(-x)+C,e^x+C,-e^x+C,B,hard
28,Phương trình x^3-1=0 có bao nhiêu nghiệm thực?,1,2,3,0,A,hard
29,Giới hạn lim x→0 (sin(x)/x)=?,0,1,∞,Không tồn tại,B,hard
30,Tích phân ∫(1/(1+x^2))dx?,ln(1+x^2)+C,arctan(x)+C,arcsin(x)+C,x/(1+x^2)+C,B,hard
